Age,,Girls,,,,,,,,,,,,Boys,,,,,,,,,,,
months,years,mu,sigma,nu,cent0.4,cent2,cent9,cent25,cent50,cent75,cent91,cent98,cent99.6,mu,sigma,nu,cent0.4,cent2,cent9,cent25,cent50,cent75,cent91,cent98,cent99.6
33,2.7,91.3900283689186,0.0358497615656941,-0.0281219890142367,83.07,85.07,87.13,89.23,91.39,93.6,95.87,98.19,100.57,92.5159657548126,0.0378650802377628,-0.283136737326764,83.75,85.84,87.99,90.22,92.52,94.89,97.34,99.88,102.5
34,2.8,92.0842672211017,0.035986367190338,-0.0258510815157946,83.67,85.7,87.77,89.9,92.08,94.32,96.61,98.96,101.37,93.2787565341547,0.038004653748741,-0.272730337604342,84.4,86.52,88.7,90.95,93.28,95.68,98.16,100.73,103.38
35,2.9,92.7493954933038,0.0361173954539224,-0.0224001783074003,84.24,86.29,88.39,90.54,92.75,95.01,97.33,99.7,102.14,94.0182639376281,0.038138455149011,-0.261406377404998,85.04,87.18,89.39,91.67,94.02,96.45,98.96,101.55,104.23
36,3,93.4289354451954,0.0362515619973091,-0.0175572736306203,84.83,86.9,89.02,91.2,93.43,95.71,98.06,100.46,102.92,94.7770604134944,0.0382753843386376,-0.248427980504238,85.69,87.86,90.09,92.4,94.78,97.23,99.77,102.39,105.1
37,3.1,94.0783004824301,0.0363802034010612,-0.0116930633983322,85.38,87.48,89.62,91.82,94.08,96.39,98.76,101.18,103.67,95.5000859528825,0.0384065997075698,-0.234690713281001,86.31,88.5,90.76,93.09,95.5,97.98,100.55,103.2,105.93
38,3.2,94.7400406104886,0.0365118929370825,-0.00449494983872034,85.95,88.07,90.24,92.46,94.74,97.07,99.47,101.92,104.43,96.2294840161759,0.0385408464553123,-0.219357107497408,86.93,89.15,91.44,93.8,96.23,98.74,101.33,104.01,106.77
39,3.2,95.3707868761014,0.0366381321226663,0.00349761813940847,86.49,88.63,90.82,93.07,95.37,97.73,100.14,102.62,105.16,96.9126827515412,0.03866946145244,-0.203491482528331,87.51,89.75,92.07,94.45,96.91,99.45,102.07,104.77,107.56
40,3.3,96.0122818724063,0.0367673347277264,0.0127390698323946,87.04,89.2,91.42,93.69,96.01,98.39,100.83,103.34,105.9,97.5913770536059,0.0388010172244927,-0.186114538611364,88.09,90.35,92.69,95.11,97.59,100.15,102.8,105.53,108.34
41,3.4,96.6240784747163,0.0368911633172028,0.022558128064881,87.56,89.75,91.98,94.28,96.62,99.03,101.49,104.02,106.6,98.223696301986,0.0389270248891168,-0.168422423387929,88.62,90.91,93.28,95.71,98.22,100.81,103.48,106.23,109.07
42,3.5,97.2281562013241,0.0370138040277123,0.033164724066505,88.08,90.28,92.54,94.86,97.23,99.66,102.14,104.69,107.3,98.8348937480732,0.0390517484817732,-0.149942770395356,89.13,91.45,93.84,96.3,98.83,101.45,104.14,106.91,109.77
